game_id,turn,player,action_type,source_idx,color,line_idx,score_p1_before,score_p2_before
0,0,0,factory,0,white,1,0,0
0,1,1,factory,1,black,2,0,0
0,2,0,factory,2,black,0,0,0
0,3,1,factory,4,black,2,0,0
0,4,0,factory,3,blue,4,0,0
0,5,1,center,-1,black,2,0,0
0,6,0,center,-1,yellow,3,0,0
0,7,1,center,-1,white,1,0,0
0,8,0,center,-1,red,2,0,0
0,9,1,center,-1,blue,4,0,0
0,10,1,factory,2,blue,4,5,0
0,11,0,factory,1,black,1,5,0
0,12,1,factory,3,black,1,5,0
0,13,0,factory,0,blue,0,5,0
0,14,1,center,-1,red,0,5,0
0,15,0,center,-1,white,3,5,0
0,16,1,factory,4,white,3,5,0
0,17,0,center,-1,blue,4,5,0
0,18,1,center,-1,red,2,5,0
0,19,0,center,-1,yellow,2,5,0
0,20,0,factory,4,white,0,11,0
0,21,1,factory,0,red,2,11,0
0,22,0,factory,2,yellow,2,11,0
0,23,1,center,-1,white,3,11,0
0,24,0,factory,1,yellow,1,11,0
0,25,1,factory,3,yellow,0,11,0
0,26,0,center,-1,black,3,11,0
0,27,1,center,-1,yellow,4,11,0
0,28,0,center,-1,blue,4,11,0
0,29,1,center,-1,red,-1,11,0
0,30,1,factory,2,black,0,21,0
0,31,0,factory,0,red,1,21,0
0,32,1,factory,3,blue,2,21,0
0,33,0,factory,4,blue,4,21,0
0,34,1,center,-1,blue,2,21,0
0,35,0,center,-1,red,0,21,0
0,36,1,factory,1,white,3,21,0
0,37,0,center,-1,black,2,21,0
0,38,1,center,-1,yellow,4,21,0
0,39,0,center,-1,white,-1,21,0
0,40,0,factory,3,blue,2,36,0
0,41,1,factory,4,yellow,4,36,0
0,42,0,factory,1,blue,1,36,0
0,43,1,center,-1,white,0,36,0
0,44,0,factory,0,yellow,0,36,0
0,45,1,factory,2,black,1,36,0
0,46,0,center,-1,red,3,36,0
0,47,1,center,-1,black,3,36,0
0,48,0,center,-1,yellow,4,36,0
0,49,1,center,-1,blue,2,36,0
1,0,0,factory,0,white,1,0,0
1,1,1,factory,3,blue,2,0,0
1,2,0,factory,1,blue,0,0,0
1,3,1,factory,4,blue,2,0,0
1,4,0,factory,2,yellow,4,0,0
1,5,1,center,-1,red,0,0,0
1,6,0,center,-1,black,3,0,0
1,7,1,center,-1,yellow,1,0,0
1,8,0,center,-1,white,2,0,0
1,9,1,factory,2,yellow,1,6,0
1,10,0,factory,3,yellow,0,6,0
1,11,1,center,-1,white,0,6,0
1,12,0,factory,0,red,1,6,0
1,13,1,factory,1,black,3,6,0
1,14,0,center,-1,blue,2,6,0
1,15,1,factory,4,black,3,6,0
1,16,0,center,-1,white,3,6,0
1,17,1,center,-1,black,2,6,0
1,18,0,factory,0,blue,1,15,1
1,19,1,factory,1,black,2,15,1
1,20,0,factory,2,black,0,15,1
1,21,1,factory,3,blue,1,15,1
1,22,0,factory,4,yellow,4,15,1
1,23,1,center,-1,blue,1,15,1
1,24,0,center,-1,yellow,2,15,1
1,25,1,center,-1,black,0,15,1
1,26,0,center,-1,red,3,15,1
1,27,1,center,-1,white,3,15,1
1,28,1,factory,2,white,3,25,5
1,29,0,factory,4,yellow,1,25,5
1,30,1,factory,3,red,1,25,5
1,31,0,center,-1,black,2,25,5
1,32,1,center,-1,red,4,25,5
1,33,0,factory,1,white,0,25,5
1,34,1,factory,0,yellow,2,25,5
1,35,0,center,-1,yellow,4,25,5
1,36,1,center,-1,blue,0,25,5
1,37,0,center,-1,black,-1,25,5
1,38,0,factory,0,red,0,35,15
1,39,1,factory,1,yellow,2,35,15
1,40,0,factory,2,red,3,35,15
1,41,1,factory,4,red,4,35,15
1,42,0,factory,3,yellow,4,35,15
1,43,1,center,-1,red,4,35,15
1,44,0,center,-1,white,-1,35,15
1,45,1,center,-1,blue,3,35,15
2,0,0,factory,0,white,1,0,0
2,1,1,factory,2,blue,3,0,0
2,2,0,factory,1,red,0,0,0
2,3,1,factory,3,blue,3,0,0
2,4,0,factory,4,blue,4,0,0
2,5,1,center,-1,yellow,0,0,0
2,6,0,center,-1,red,3,0,0
2,7,1,center,-1,white,2,0,0
2,8,0,center,-1,black,2,0,0
2,9,1,factory,4,white,2,3,0
2,10,0,factory,2,blue,0,3,0
2,11,1,center,-1,black,0,3,0
2,12,0,factory,0,blue,1,3,0
