game_id,turn,player,action_type,source_idx,color,line_idx,score_p1_before,score_p2_before
0,0,0,factory,1,yellow,1,0,0
0,1,1,factory,4,yellow,4,0,0
0,2,0,factory,0,yellow,0,0,0
0,3,1,center,-1,red,2,0,0
0,4,0,factory,2,white,2,0,0
0,5,1,factory,3,red,3,0,0
0,6,0,center,-1,black,3,0,0
0,7,1,center,-1,blue,0,0,0
0,8,0,center,-1,white,2,0,0
0,9,1,factory,0,red,3,4,0
0,10,0,factory,4,blue,1,4,0
0,11,1,factory,1,red,3,4,0
0,12,0,center,-1,yellow,2,4,0
0,13,1,center,-1,blue,1,4,0
0,14,0,factory,2,yellow,3,4,0
0,15,1,center,-1,black,2,4,0
0,16,0,factory,3,yellow,3,4,0
0,17,1,center,-1,black,2,4,0
0,18,0,center,-1,red,4,4,0
0,19,1,center,-1,white,0,4,0
0,20,0,center,-1,blue,0,4,0
0,21,0,factory,2,yellow,3,9,4
0,22,1,factory,3,red,0,9,4
0,23,0,factory,0,blue,2,9,4
0,24,1,factory,1,white,1,9,4
0,25,0,factory,4,blue,2,9,4
0,26,1,center,-1,white,1,9,4
0,27,0,center,-1,red,4,9,4
0,28,1,center,-1,blue,2,9,4
0,29,0,center,-1,black,0,9,4
0,30,1,factory,0,blue,2,12,7
0,31,0,factory,2,yellow,3,12,7
0,32,1,factory,1,blue,2,12,7
0,33,0,factory,4,red,0,12,7
0,34,1,center,-1,white,3,12,7
0,35,0,center,-1,black,2,12,7
0,36,1,factory,3,black,1,12,7
0,37,0,center,-1,yellow,4,12,7
0,38,1,center,-1,white,-1,12,7
0,39,0,center,-1,blue,-1,12,7
0,40,1,center,-1,red,-1,12,7
0,41,0,factory,1,yellow,4,23,2
0,42,1,center,-1,blue,3,23,2
0,43,0,factory,3,yellow,4,23,2
0,44,1,factory,0,blue,3,23,2
0,45,0,center,-1,red,1,23,2
0,46,1,factory,2,blue,3,23,2
0,47,0,factory,4,yellow,-1,23,2
0,48,1,center,-1,yellow,2,23,2
0,49,0,center,-1,red,3,23,2
0,50,1,center,-1,black,0,23,2
0,51,0,center,-1,white,0,23,2
1,0,0,factory,0,black,1,0,0
1,1,1,factory,2,black,0,0,0
1,2,0,factory,1,blue,0,0,0
1,3,1,center,-1,red,2,0,0
1,4,0,factory,3,blue,2,0,0
1,5,1,factory,4,blue,4,0,0
1,6,0,center,-1,yellow,3,0,0
1,7,1,center,-1,blue,4,0,0
1,8,0,center,-1,red,4,0,0
1,9,1,center,-1,black,3,0,0
1,10,1,factory,2,black,3,3,0
1,11,0,factory,1,white,0,3,0
1,12,1,factory,4,red,0,3,0
1,13,0,factory,3,blue,2,3,0
1,14,1,center,-1,yellow,2,3,0
1,15,0,center,-1,blue,1,3,0
1,16,1,factory,0,yellow,1,3,0
1,17,0,center,-1,red,4,3,0
1,18,1,center,-1,white,-1,3,0
1,19,0,factory,2,blue,4,8,0
1,20,1,factory,0,black,3,8,0
1,21,0,factory,4,blue,4,8,0
1,22,1,factory,3,black,2,8,0
1,23,0,center,-1,blue,4,8,0
1,24,1,factory,1,black,2,8,0
1,25,0,center,-1,red,2,8,0
1,26,1,center,-1,yellow,0,8,0
1,27,0,center,-1,black,3,8,0
1,28,1,center,-1,white,-1,8,0
1,29,1,factory,0,yellow,3,11,0
1,30,0,factory,1,blue,4,11,0
1,31,1,factory,4,yellow,3,11,0
1,32,0,factory,2,yellow,0,11,0
1,33,1,center,-1,blue,2,11,0
1,34,0,center,-1,white,2,11,0
1,35,1,factory,3,blue,2,11,0
1,36,0,center,-1,black,3,11,0
1,37,1,center,-1,yellow,1,11,0
1,38,0,center,-1,red,1,11,0
1,39,0,factory,2,black,3,25,2
1,40,1,factory,1,red,1,25,2
1,41,0,factory,4,blue,-1,25,2
1,42,1,factory,3,blue,3,25,2
1,43,0,factory,0,red,0,25,2
1,44,1,center,-1,blue,3,25,2
1,45,0,center,-1,black,4,25,2
1,46,1,center,-1,white,2,25,2
1,47,0,center,-1,red,1,25,2
1,48,1,center,-1,yellow,-1,25,2
2,0,0,factory,1,yellow,1,0,0
2,1,1,factory,0,white,0,0,0
2,2,0,factory,2,blue,0,0,0
2,3,1,center,-1,blue,2,0,0
2,4,0,center,-1,red,2,0,0
2,5,1,factory,3,blue,2,0,0
2,6,0,center,-1,black,3,0,0
2,7,1,center,-1,white,4,0,0
2,8,0,factory,4,black,3,0,0
2,9,1,center,-1,blue,1,0,0
2,10,0,center,-1,yellow,4,0,0
2,11,1,center,-1,red,3,0,0
2,12,1,factory,0,red,3,3,1
2,13,0,factory,3,blue,2,3,1
2,14,1,factory,2,red,3,3,1
2,15,0,factory,4,black,1,3,1
2,16,1,factory,1,black,2,3,1
2,17,0,center,-1,yellow,3,3,1
2,18,1,center,-1,white,4,3,1
2,19,0,center,-1,blue,-1,3,1
2,20,0,factory,1,yellow,4,4,2
2,21,1,factory,0,blue,3,4,2
2,22,0,factory,2,yellow,4,4,2
2,23,1,factory,3,blue,3,4,2
2,24,0,factory,4,yellow,0,4,2
2,25,1,center,-1,blue,3,4,2
2,26,0,center,-1,black,2,4,2
2,27,1,center,-1,red,4,4,2
2,28,0,center,-1,white,3,4,2
2,29,1,center,-1,yellow,0,4,2
2,30,1,factory,4,yellow,3,6,4
2,31,0,factory,0,black,4,6,4
2,32,1,factory,1,red,4,6,4
2,33,0,factory,2,black,4,6,4
2,34,1,center,-1,red,4,6,4
2,35,0,factory,3,black,4,6,4
2,36,1,center,-1,blue,1,6,4
2,37,0,center,-1,red,0,6,4
2,38,1,center,-1,white,-1,6,4
2,39,0,factory,0,black,4,11,0
2,40,1,factory,3,black,4,11,0
2,41,0,factory,2,yellow,2,11,0
2,42,1,factory,4,black,4,11,0
2,43,0,factory,1,yellow,2,11,0
2,44,1,center,-1,yellow,3,11,0
2,45,0,center,-1,blue,1,11,0
2,46,1,center,-1,red,0,11,0
2,47,0,center,-1,white,3,11,0
2,48,1,factory,0,white,1,21,0
3,0,0,factory,0,yellow,1,0,0
3,1,1,factory,1,white,1,0,0
3,2,0,factory,2,blue,0,0,0
3,3,1,factory,3,white,1,0,0
3,4,0,center,-1,blue,2,0,0
3,5,1,factory,4,red,4,0,0
3,6,0,center,-1,black,3,0,0
3,7,1,center,-1,red,4,0,0
3,8,0,center,-1,yellow,4,0,0
3,9,1,center,-1,blue,2,0,0
3,10,0,center,-1,white,-1,0,0
3,11,1,factory,0,blue,2,3,1
3,12,0,factory,1,yellow,4,3,1
3,13,1,factory,2,white,3,3,1
3,14,0,factory,4,blue,1,3,1
3,15,1,factory,3,white,3,3,1
3,16,0,center,-1,blue,1,3,1
3,17,1,center,-1,white,3,3,1
3,18,0,center,-1,black,2,3,1
3,19,1,center,-1,yellow,0,3,1
3,20,0,center,-1,red,3,3,1
3,21,0,factory,3,white,1,12,1
3,22,1,factory,4,black,2,12,1
3,23,0,factory,0,yellow,0,12,1
3,24,1,factory,1,white,3,12,1
3,25,0,factory,2,blue,3,12,1
3,26,1,center,-1,red,4,12,1
3,27,0,center,-1,blue,3,12,1
3,28,1,center,-1,black,0,12,1
3,29,0,center,-1,yellow,2,12,1
3,30,1,center,-1,white,-1,12,1
3,31,1,factory,0,red,0,25,0
3,32,0,factory,3,yellow,2,25,0
3,33,1,factory,1,red,2,25,0
3,34,0,factory,2,blue,4,25,0
3,35,1,factory,4,red,2,25,0
3,36,0,center,-1,blue,4,25,0
3,37,1,center,-1,red,2,25,0
3,38,0,center,-1,white,3,25,0
3,39,1,center,-1,black,1,25,0
3,40,0,center,-1,yellow,-1,25,0
3,41,0,factory,0,blue,4,28,4
3,42,1,factory,1,yellow,1,28,4
3,43,0,factory,2,blue,4,28,4
3,44,1,factory,4,yellow,1,28,4
3,45,0,center,-1,white,2,28,4
3,46,1,center,-1,yellow,4,28,4
3,47,0,factory,3,blue,4,28,4
3,48,1,center,-1,blue,3,28,4
3,49,0,center,-1,red,0,28,4
3,50,1,center,-1,white,0,28,4
3,51,0,center,-1,black,1,28,4
4,0,0,factory,0,red,1,0,0
4,1,1,factory,3,white,0,0,0
4,2,0,factory,1,blue,0,0,0
4,3,1,factory,4,white,3,0,0
4,4,0,center,-1,red,2,0,0
4,5,1,center,-1,white,3,0,0
4,6,0,factory,2,blue,3,0,0
4,7,1,center,-1,red,2,0,0
4,8,0,center,-1,yellow,4,0,0
4,9,1,center,-1,black,4,0,0
4,10,0,center,-1,white,-1,0,0
4,11,1,factory,1,black,4,1,1
4,12,0,factory,4,red,0,1,1
4,13,1,factory,2,black,4,1,1
4,14,0,factory,3,blue,3,1,1
4,15,1,center,-1,black,4,1,1
4,16,0,center,-1,blue,3,1,1
4,17,1,center,-1,red,1,1,1
4,18,0,center,-1,yellow,2,1,1
4,19,1,factory,0,yellow,0,1,1
4,20,0,center,-1,white,1,1,1
4,21,0,factory,0,red,3,5,1
4,22,1,factory,1,yellow,3,5,1
4,23,0,factory,2,red,3,5,1
4,24,1,center,-1,yellow,3,5,1
4,25,0,center,-1,red,3,5,1
4,26,1,factory,3,blue,0,5,1
4,27,0,center,-1,black,0,5,1
4,28,1,factory,4,white,4,5,1
4,29,0,center,-1,blue,2,5,1
4,30,1,center,-1,white,4,5,1
4,31,0,center,-1,yellow,4,5,1
4,32,1,factory,2,white,4,15,0
4,33,0,factory,3,yellow,4,15,0
4,34,1,factory,0,yellow,1,15,0
4,35,0,center,-1,black,2,15,0
4,36,1,factory,4,yellow,1,15,0
4,37,0,center,-1,blue,1,15,0
4,38,1,center,-1,red,3,15,0
4,39,0,factory,1,red,-1,15,0
4,40,1,center,-1,black,0,15,0
4,41,0,center,-1,yellow,0,15,0
4,42,1,center,-1,blue,-1,15,0
4,43,0,factory,0,red,4,28,2
4,44,1,factory,1,red,2,28,2
4,45,0,factory,2,red,4,28,2
4,46,1,factory,3,red,2,28,2
4,47,0,factory,4,yellow,1,28,2
4,48,1,center,-1,blue,4,28,2
4,49,0,center,-1,white,2,28,2
4,50,1,center,-1,black,1,28,2
5,0,0,factory,0,red,1,0,0
5,1,1,factory,1,black,1,0,0
5,2,0,factory,2,blue,0,0,0
5,3,1,center,-1,yellow,3,0,0
5,4,0,factory,3,black,2,0,0
5,5,1,factory,4,black,4,0,0
5,6,0,center,-1,white,4,0,0
5,7,1,center,-1,black,4,0,0
5,8,0,center,-1,blue,3,0,0
5,9,1,center,-1,red,0,0,0
5,10,1,factory,4,yellow,0,3,1
5,11,0,factory,0,blue,3,3,1
5,12,1,factory,1,black,2,3,1
5,13,0,factory,2,white,1,3,1
5,14,1,factory,3,black,2,3,1
5,15,0,center,-1,black,0,3,1
5,16,1,center,-1,red,1,3,1
5,17,0,center,-1,yellow,4,3,1
5,18,1,center,-1,white,-1,3,1
5,19,0,factory,2,black,2,7,0
5,20,1,factory,1,yellow,3,7,0
5,21,0,factory,3,blue,1,7,0
5,22,1,factory,4,yellow,3,7,0
5,23,0,center,-1,red,3,7,0
5,24,1,factory,0,blue,1,7,0
5,25,0,center,-1,white,0,7,0
5,26,1,center,-1,black,0,7,0
5,27,0,center,-1,yellow,4,7,0
5,28,1,center,-1,red,-1,7,0
5,29,0,center,-1,blue,-1,7,0
5,30,1,factory,4,white,3,14,4
5,31,0,factory,1,yellow,4,14,4
5,32,1,factory,0,white,3,14,4
5,33,0,center,-1,yellow,2,14,4
5,34,1,factory,2,white,3,14,4
5,35,0,center,-1,black,1,14,4
5,36,1,center,-1,blue,0,14,4
5,37,0,factory,3,red,0,14,4
5,38,1,center,-1,blue,-1,14,4
5,39,0,center,-1,red,-1,14,4
5,40,0,factory,1,red,2,23,3
5,41,1,factory,2,white,1,23,3
5,42,0,factory,4,red,2,23,3
5,43,1,factory,3,black,3,23,3
5,44,0,factory,0,yellow,1,23,3
5,45,1,center,-1,black,3,23,3
5,46,0,center,-1,blue,4,23,3
5,47,1,center,-1,white,0,23,3
5,48,0,center,-1,yellow,3,23,3
6,0,0,factory,4,black,2,0,0
6,1,1,factory,0,white,0,0,0
6,2,0,factory,1,yellow,1,0,0
6,3,1,center,-1,yellow,2,0,0
6,4,0,factory,3,blue,0,0,0
6,5,1,factory,2,black,4,0,0
6,6,0,center,-1,white,4,0,0
6,7,1,center,-1,black,4,0,0
6,8,0,center,-1,blue,3,0,0
6,9,1,center,-1,red,3,0,0
6,10,1,factory,4,red,3,4,0
6,11,0,center,-1,white,1,4,0
6,12,1,factory,0,red,3,4,0
6,13,0,factory,3,yellow,4,4,0
6,14,1,factory,1,black,0,4,0
6,15,0,center,-1,yellow,4,4,0
6,16,1,factory,2,black,1,4,0
6,17,0,center,-1,blue,3,4,0
6,18,1,center,-1,black,4,4,0
6,19,0,center,-1,red,0,4,0
6,20,0,factory,2,blue,2,10,2
6,21,1,factory,0,white,4,10,2
6,22,0,factory,3,blue,2,10,2
6,23,1,factory,1,white,4,10,2
6,24,0,center,-1,red,3,10,2
6,25,1,factory,4,blue,0,10,2
6,26,0,center,-1,yellow,4,10,2
6,27,1,center,-1,black,3,10,2
6,28,0,center,-1,red,1,10,2
6,29,1,factory,3,black,3,16,2
6,30,0,factory,0,red,1,16,2
6,31,1,center,-1,yellow,1,16,2
6,32,0,factory,1,white,3,16,2
6,33,1,center,-1,red,0,16,2
6,34,0,factory,2,white,3,16,2
6,35,1,factory,4,yellow,2,16,2
6,36,0,center,-1,blue,4,16,2
6,37,1,center,-1,yellow,-1,16,2
6,38,0,center,-1,black,0,16,2
6,39,1,center,-1,red,-1,16,2
6,40,0,factory,1,white,3,24,0
6,41,1,factory,2,blue,2,24,0
6,42,0,center,-1,yellow,2,24,0
6,43,1,factory,3,blue,2,24,0
6,44,0,factory,4,blue,1,24,0
6,45,1,center,-1,yellow,0,24,0
6,46,0,center,-1,black,4,24,0
6,47,1,center,-1,red,1,24,0
6,48,0,center,-1,white,0,24,0
6,49,1,factory,0,yellow,3,24,0
6,50,0,center,-1,white,-1,24,0
7,0,0,factory,1,red,2,0,0
