seed,score_a,score_b,penalty_a,penalty_b,rows_a,rows_b,cols_a,cols_b,colours_a,colours_b,winner
0,42,8,21,21,2,1,0,0,0,0,0
1,59,14,8,39,1,1,1,0,1,0,0
2,49,7,27,22,3,0,0,0,0,0,0
3,53,33,23,5,2,0,1,1,1,1,0
4,57,14,25,16,3,0,0,0,0,0,0
5,46,13,19,25,2,1,0,0,0,0,0
6,82,13,4,25,2,0,1,0,1,0,0
7,57,11,19,13,3,0,0,0,0,0,0
8,46,0,12,40,0,0,1,0,1,0,-1
9,69,22,13,9,1,0,2,0,2,0,0
10,78,8,11,20,2,0,1,0,1,0,0
11,58,15,18,21,3,0,0,0,0,0,0
12,75,6,15,24,3,0,1,0,1,0,0
13,62,6,11,23,2,0,1,0,1,0,0
14,63,21,17,13,2,1,1,0,1,0,0
15,60,0,15,26,2,0,0,0,0,0,0
16,42,4,22,12,0,0,1,0,1,0,-1
17,44,0,12,38,2,0,0,0,0,0,0
18,78,38,9,11,3,1,1,1,1,1,0
19,71,16,21,16,2,1,1,0,1,0,0
20,48,23,15,26,2,0,0,0,0,0,0
21,50,10,20,15,2,0,0,0,0,0,0
22,59,3,22,22,2,1,1,0,1,0,0
23,69,8,7,34,3,0,1,0,1,0,0
24,91,2,7,27,3,1,2,0,2,0,0
25,60,2,21,32,3,0,1,0,1,0,0
26,63,14,21,23,2,1,1,0,1,0,0
27,60,18,6,24,1,1,0,0,0,0,0
28,46,1,18,47,2,0,0,0,0,0,0
29,64,19,19,11,2,1,1,0,1,0,0
30,53,18,18,22,2,1,1,0,1,0,0
31,69,15,7,24,2,0,1,0,1,0,0
32,25,8,35,24,2,1,0,0,0,0,0
33,63,12,17,21,2,1,2,0,2,0,0
34,72,19,4,20,1,1,2,0,2,0,0
35,41,25,22,14,2,1,0,0,0,0,0
36,72,13,16,19,3,0,1,0,1,0,0
37,57,23,5,23,1,1,1,0,1,0,0
38,65,19,20,19,2,1,0,0,0,0,0
39,63,0,11,44,2,0,1,0,1,0,0
40,49,9,18,17,2,0,0,0,0,0,0
41,85,3,15,13,3,0,1,0,1,0,0
42,17,6,32,16,1,0,0,0,0,0,0
43,58,3,9,28,2,1,0,0,0,0,0
44,37,12,28,22,2,0,0,0,0,0,0
45,61,3,8,31,2,0,1,0,1,0,0
46,47,0,13,24,1,0,1,0,1,0,0
47,81,10,15,19,2,0,1,0,1,0,0
48,28,33,22,17,1,2,0,0,0,0,1
49,62,7,5,33,1,0,1,0,1,0,0
50,68,3,13,35,3,1,1,0,1,0,0
51,64,23,15,19,1,1,1,0,1,0,0
52,41,14,21,25,2,0,0,0,0,0,0
53,69,3,20,16,2,0,2,0,2,0,0
54,61,2,9,29,2,1,1,0,1,0,0
55,73,17,9,30,1,0,1,1,1,1,0
56,39,2,15,25,2,1,0,0,0,0,0
57,32,12,22,24,2,1,0,0,0,0,0
58,39,0,10,30,1,0,0,0,0,0,0
59,39,18,19,30,2,1,0,0,0,0,0
60,79,25,14,21,3,1,0,0,0,0,0
61,58,23,21,12,2,1,1,0,1,0,0
62,62,17,18,14,1,0,2,0,2,0,0
63,90,8,2,25,2,0,1,0,1,0,0
64,61,17,16,26,2,1,0,0,0,0,0
65,50,4,13,48,2,1,0,0,0,0,0
66,63,30,14,24,3,1,0,0,0,0,0
67,91,0,3,26,2,0,1,0,1,0,0
68,63,15,16,20,2,1,1,0,1,0,0
69,65,15,28,8,2,0,1,0,1,0,0
70,31,0,21,31,0,0,0,0,0,0,-1
71,69,16,18,17,3,0,1,0,1,0,0
72,49,9,20,21,1,0,0,0,0,0,0
73,65,6,20,14,3,0,0,0,0,0,0
74,48,6,20,17,2,0,1,0,1,0,0
75,44,8,12,24,2,1,0,0,0,0,0
76,46,3,9,45,2,1,0,0,0,0,0
77,35,28,22,18,2,1,0,1,0,1,0
78,64,23,4,18,3,1,0,0,0,0,0
79,67,33,9,22,2,1,1,0,1,0,0
80,49,0,24,38,2,0,1,0,1,0,0
81,60,21,11,31,2,1,0,1,0,1,0
82,70,7,10,30,2,0,1,0,1,0,0
83,64,3,17,28,2,0,1,0,1,0,0
84,64,7,13,31,3,1,0,0,0,0,0
85,55,15,18,15,2,1,1,0,1,0,0
86,52,13,9,41,2,0,0,1,0,1,0
87,61,15,24,17,3,1,0,0,0,0,0
88,55,12,12,40,2,1,1,0,1,0,0
89,38,15,33,22,2,1,1,0,1,0,0
90,60,1,12,19,2,0,0,0,0,0,0
91,56,0,15,33,1,0,1,0,1,0,0
92,72,29,5,19,2,0,1,0,1,0,0
93,49,0,14,39,1,0,1,0,1,0,0
94,70,4,11,41,1,1,1,0,1,0,0
95,57,9,12,18,1,0,0,0,0,0,0
96,104,9,6,23,3,1,1,0,1,0,0
97,93,0,3,33,2,0,2,0,2,0,0
98,81,0,5,21,1,0,2,0,2,0,0
99,51,20,14,35,1,0,1,0,1,0,0
