seed,score_a,score_b,penalty_a,penalty_b,rows_a,rows_b,cols_a,cols_b,colours_a,colours_b,winner,ender
0,75,39,13,16,3,1,0,0,0,0,0,0+1
1,67,35,9,16,2,1,1,1,1,1,0,0+1
2,43,40,8,21,2,1,0,0,0,0,0,0+1
3,52,51,3,16,2,0,0,1,0,1,0,0
4,64,26,6,22,2,1,1,0,1,0,0,0+1
5,49,35,8,24,2,2,0,1,0,1,0,0+1
6,60,68,11,9,2,2,0,1,0,1,1,0+1
7,68,50,15,11,2,2,1,1,1,1,0,0+1
8,89,43,12,7,2,0,1,0,1,0,0,0
9,79,39,13,15,2,1,1,0,1,0,0,0+1
10,54,41,16,16,2,1,0,0,0,0,0,0+1
11,72,47,6,14,2,1,1,1,1,1,0,0+1
12,30,56,17,14,1,3,0,0,0,0,1,0+1
13,52,34,9,16,2,1,0,0,0,0,0,0+1
14,42,41,16,18,2,2,0,1,0,1,0,0+1
15,54,71,12,9,1,2,0,1,0,1,1,0+1
16,60,56,11,13,2,2,0,0,0,0,0,0+1
17,54,34,13,14,2,1,0,0,0,0,0,0+1
18,80,52,5,10,3,2,0,0,0,0,0,0+1
19,81,26,12,20,2,1,1,0,1,0,0,0+1
20,94,60,2,9,2,2,1,1,1,1,0,0+1
21,66,54,5,12,2,2,1,1,1,1,0,0+1
22,56,44,6,17,1,2,1,1,1,1,0,0+1
23,68,49,6,17,1,2,1,0,1,0,0,0+1
24,58,30,14,14,2,1,1,0,1,0,0,0+1
25,29,31,20,17,1,1,0,0,0,0,1,0+1
26,72,54,5,14,2,1,1,1,1,1,0,0+1
27,52,48,15,16,2,3,0,0,0,0,0,0+1
28,76,70,4,15,2,2,1,2,1,2,0,0+1
29,44,51,17,15,2,2,0,1,0,1,1,0+1
30,48,54,13,15,1,3,1,0,1,0,1,0+1
31,43,48,12,16,2,2,0,0,0,0,1,0+1
32,44,47,14,14,2,1,0,0,0,0,1,0+1
33,81,18,10,24,2,1,1,0,1,0,0,0+1
34,46,23,9,30,2,2,0,0,0,0,0,0+1
35,59,66,5,19,2,2,0,1,0,1,1,0+1
36,71,29,8,23,2,2,1,0,1,0,0,0+1
37,40,65,17,11,2,2,0,1,0,1,1,0+1
38,51,44,10,12,2,1,0,1,0,1,0,0+1
39,43,57,8,17,1,3,0,0,0,0,1,0+1
40,44,38,15,15,2,1,0,0,0,0,0,0+1
41,69,48,11,15,2,2,1,0,1,0,0,0+1
42,45,63,7,19,1,2,0,1,0,1,1,0+1
43,44,38,15,21,2,1,1,0,1,0,0,0+1
44,46,66,14,7,2,1,0,2,0,2,1,0+1
45,75,54,9,16,2,2,1,1,1,1,0,0+1
46,73,38,8,10,2,1,1,0,1,0,0,0+1
