seed,score_a,score_b,penalty_a,penalty_b,rows_a,rows_b,cols_a,cols_b,colours_a,colours_b,winner,ender
0,55,12,15,22,2,0,1,0,1,0,0,0
1,44,22,26,13,2,1,0,0,0,0,0,0+1
2,69,21,16,14,1,1,1,0,1,0,0,0+1
3,63,18,14,25,2,1,1,0,1,0,0,0+1
4,37,5,14,30,1,1,0,0,0,0,0,0+1
5,72,4,11,17,3,0,1,0,1,0,0,0
6,52,35,24,20,1,1,0,1,0,1,0,0+1
7,51,18,21,19,2,1,0,0,0,0,0,0+1
8,30,3,23,36,2,1,0,0,0,0,0,0+1
9,45,50,9,21,2,1,0,2,0,2,1,0+1
10,64,13,14,32,1,1,1,0,1,0,0,0+1
11,43,25,30,7,2,1,0,0,0,0,0,0+1
12,69,26,7,21,1,1,1,1,1,1,0,0+1
13,51,29,9,18,2,0,0,0,0,0,0,0
14,47,6,20,12,1,0,1,0,1,0,0,0
15,65,8,10,30,2,1,1,0,1,0,0,0+1
16,52,16,24,19,2,1,1,0,1,0,0,0+1
17,47,24,22,13,1,0,1,0,1,0,0,0
18,56,16,15,10,1,1,1,0,1,0,0,0+1
19,66,19,12,23,2,1,1,0,1,0,0,0+1
20,45,7,16,29,2,1,0,0,0,0,0,0+1
21,55,34,9,16,2,1,0,1,0,1,0,0+1
22,51,9,25,16,2,0,1,0,1,0,0,0
23,71,5,11,20,2,0,2,0,2,0,0,0
24,61,32,11,28,2,1,0,1,0,1,0,0+1
25,55,11,18,24,1,1,1,0,1,0,0,0+1
26,93,20,11,24,2,0,2,1,2,1,0,0
27,45,7,8,25,2,0,0,0,0,0,0,0
28,35,9,20,18,1,0,1,0,1,0,0,0
29,35,9,25,18,2,0,0,0,0,0,0,0
30,67,10,12,24,2,1,0,0,0,0,0,0+1
31,65,9,9,34,2,1,1,0,1,0,0,0+1
32,43,13,14,27,2,0,0,0,0,0,0,0
33,17,18,37,12,1,0,0,0,0,0,1,0
34,61,0,18,28,2,0,1,0,1,0,0,0
35,59,13,21,16,3,1,1,0,1,0,0,0+1
36,46,14,17,17,2,1,0,0,0,0,0,0+1
37,65,12,14,25,2,0,1,0,1,0,0,0
38,72,15,18,17,2,1,0,0,0,0,0,0+1
39,62,0,16,34,1,0,1,0,1,0,0,0
40,90,13,7,22,2,1,2,0,2,0,0,0+1
41,70,16,10,24,1,1,0,0,0,0,0,0+1
42,32,3,32,28,1,1,0,0,0,0,0,0+1
43,23,5,37,29,2,1,0,0,0,0,0,0+1
44,62,5,9,34,2,0,1,0,1,0,0,0
45,57,9,13,37,2,1,1,0,1,0,0,0+1
46,46,16,27,18,2,0,0,0,0,0,0,0
47,71,15,11,23,2,0,1,0,1,0,0,0
48,62,17,10,27,1,1,1,0,1,0,0,0+1
49,59,16,19,14,2,1,1,0,1,0,0,0+1
50,98,18,8,16,3,1,1,0,1,0,0,0+1
51,63,6,19,15,3,0,0,0,0,0,0,0
52,51,3,13,20,1,0,1,0,1,0,0,0
53,72,28,28,9,1,1,2,0,2,0,0,0+1
54,53,15,20,30,1,0,2,0,2,0,0,0
55,46,8,18,16,1,0,1,0,1,0,0,0
56,53,26,15,21,1,1,0,0,0,0,0,0+1
57,49,4,16,30,1,0,0,0,0,0,0,0
58,26,7,28,35,2,1,0,0,0,0,0,0+1
59,45,0,17,28,2,0,1,0,1,0,0,0
60,44,3,20,28,0,1,1,0,1,0,0,1
61,78,12,13,20,2,1,1,0,1,0,0,0+1
62,50,22,27,19,2,1,1,0,1,0,0,0+1
63,42,0,21,35,2,0,0,0,0,0,0,0
64,44,0,10,37,1,0,0,0,0,0,0,0
65,85,16,18,17,3,1,1,0,1,0,0,0+1
66,37,21,20,31,2,1,0,0,0,0,0,0+1
67,30,15,30,22,2,0,0,0,0,0,0,0
68,46,29,23,17,2,0,0,1,0,1,0,0
69,37,36,23,10,1,1,0,0,0,0,0,0+1
70,72,0,10,40,2,0,1,0,1,0,0,0
71,51,12,26,16,2,1,1,0,1,0,0,0+1
72,65,15,9,19,1,1,1,0,1,0,0,0+1
73,52,8,16,30,2,0,1,0,1,0,0,0
74,60,17,19,10,2,1,1,0,1,0,0,0+1
75,39,19,19,21,2,0,0,0,0,0,0,0
76,29,9,15,24,0,0,1,0,1,0,-1,none
77,67,10,7,30,2,1,0,0,0,0,0,0+1
78,32,7,23,22,2,0,0,0,0,0,0,0
79,37,8,24,25,1,0,1,0,1,0,0,0
80,58,13,16,19,1,1,0,0,0,0,0,0+1
81,48,0,4,33,1,0,0,0,0,0,0,0
82,63,14,21,9,2,0,0,0,0,0,0,0
83,41,2,29,35,2,0,0,0,0,0,0,0
84,54,29,14,17,2,1,0,0,0,0,0,0+1
85,53,6,20,25,3,1,0,0,0,0,0,0+1
86,78,9,8,29,1,0,2,0,2,0,0,0
87,66,11,19,26,2,1,1,0,1,0,0,0+1
88,47,14,19,14,3,0,0,0,0,0,0,0
89,64,7,11,28,2,1,1,0,1,0,0,0+1
90,30,0,17,49,1,0,0,0,0,0,0,0
91,68,26,11,15,3,1,1,0,1,0,0,0+1
92,24,2,25,38,1,1,0,0,0,0,0,0+1
93,43,15,27,17,3,1,0,0,0,0,0,0+1
94,67,9,8,27,2,1,1,0,1,0,0,0+1
95,49,0,12,38,1,0,0,0,0,0,0,0
96,51,2,13,36,1,1,0,0,0,0,0,0+1
97,50,17,12,18,2,0,0,0,0,0,0,0
98,58,4,15,20,2,0,0,0,0,0,0,0
99,52,2,16,50,2,1,1,0,1,0,0,0+1
