seed,score_a,score_b,penalty_a,penalty_b,rows_a,rows_b,cols_a,cols_b,colours_a,colours_b,winner
0,34,19,15,20,1,1,0,0,0,0,0
1,79,26,12,6,2,0,1,0,1,0,0
2,49,15,12,20,1,0,1,0,1,0,0
3,50,17,15,16,1,0,0,0,0,0,0
4,70,11,12,10,1,0,2,0,2,0,0
5,57,8,5,30,1,0,1,0,1,0,0
6,55,11,14,11,1,0,0,0,0,0,0
7,52,39,8,14,1,1,0,0,0,0,0
8,51,19,14,9,0,0,2,0,2,0,-1
9,57,25,13,25,1,2,1,0,1,0,0
10,39,19,16,20,2,0,0,0,0,0,0
11,21,14,33,13,1,0,0,0,0,0,0
12,17,19,41,4,1,0,1,0,1,0,1
13,53,22,20,14,1,0,1,0,1,0,0
14,47,16,15,33,2,0,0,0,0,0,0
15,59,9,9,19,2,0,1,0,1,0,0
16,63,12,15,18,2,0,1,0,1,0,0
17,61,8,11,17,2,0,0,0,0,0,0
18,25,17,23,17,1,0,0,0,0,0,0
19,55,23,21,14,3,0,0,0,0,0,0
20,31,10,23,17,1,0,0,0,0,0,0
21,78,12,10,16,2,0,1,0,1,0,0
22,63,9,19,17,2,0,1,0,1,0,0
23,37,17,21,11,2,0,0,0,0,0,0
24,30,2,11,20,0,0,1,0,1,0,-1
25,62,16,7,12,2,0,0,0,0,0,0
26,80,8,8,22,2,0,2,0,2,0,0
27,71,2,19,12,2,0,1,0,1,0,0
28,41,24,19,7,2,1,0,0,0,0,0
29,55,5,11,33,1,0,1,0,1,0,0
30,58,1,10,31,1,0,0,0,0,0,0
31,52,11,10,31,2,0,0,0,0,0,0
32,68,37,17,3,2,1,2,0,2,0,0
33,57,16,20,10,1,0,1,0,1,0,0
34,54,15,10,24,2,0,0,1,0,1,0
35,50,13,15,9,2,0,1,0,1,0,0
36,67,20,17,13,3,0,0,0,0,0,0
37,42,5,18,18,1,0,1,0,1,0,0
38,50,13,5,25,2,0,0,0,0,0,0
39,52,30,23,10,2,1,0,0,0,0,0
40,64,7,12,16,1,0,1,0,1,0,0
41,71,22,16,17,3,1,1,0,1,0,0
42,49,22,6,22,1,0,0,1,0,1,0
43,47,24,15,14,2,0,0,1,0,1,0
44,50,15,17,31,1,1,0,0,0,0,0
45,49,14,18,13,2,0,0,0,0,0,0
46,44,14,17,9,0,0,2,0,2,0,-1
47,51,7,19,14,2,0,0,0,0,0,0
48,51,11,7,31,1,0,1,1,1,1,0
49,52,28,24,10,1,0,1,1,1,1,0
50,27,6,24,20,1,0,0,0,0,0,0
51,43,13,27,13,2,0,0,0,0,0,0
52,58,11,9,29,2,1,1,0,1,0,0
53,50,11,23,27,2,0,1,0,1,0,0
54,59,9,10,27,1,0,2,0,2,0,0
55,44,2,10,26,1,0,0,0,0,0,0
56,59,3,18,29,2,0,1,0,1,0,0
57,34,10,15,20,1,0,1,0,1,0,0
58,45,4,18,21,2,0,0,0,0,0,0
59,8,11,39,28,1,1,0,0,0,0,1
60,68,6,9,21,1,0,2,0,2,0,0
61,58,19,19,5,2,0,1,0,1,0,0
62,76,8,7,23,1,0,1,0,1,0,0
63,48,5,20,18,2,0,1,0,1,0,0
64,26,7,19,32,2,1,0,0,0,0,0
65,47,11,23,18,1,0,1,0,1,0,0
66,21,5,21,20,0,0,0,1,0,1,-1
67,75,16,8,18,2,0,1,0,1,0,0
68,61,20,13,17,1,1,1,0,1,0,0
69,80,5,9,28,2,0,1,0,1,0,0
70,22,0,18,42,0,0,0,0,0,0,-1
71,44,19,21,11,2,0,0,0,0,0,0
72,56,8,20,20,1,0,1,0,1,0,0
73,72,16,16,13,2,0,0,0,0,0,0
74,59,5,9,16,2,0,1,0,1,0,0
75,36,6,24,21,1,0,0,0,0,0,0
76,73,0,10,35,2,0,1,0,1,0,0
77,56,0,15,36,2,0,1,0,1,0,0
78,80,0,7,12,2,0,1,0,1,0,0
79,69,15,9,12,2,0,1,0,1,0,0
80,59,17,11,9,2,0,1,0,1,0,0
81,26,0,32,17,1,0,1,0,1,0,0
82,51,9,15,19,1,0,0,0,0,0,0
83,46,23,17,15,2,0,0,1,0,1,0
84,50,8,9,20,2,0,0,0,0,0,0
85,55,5,18,19,2,0,0,0,0,0,0
86,47,0,15,29,1,0,0,0,0,0,0
87,63,36,12,18,1,0,1,1,1,1,0
88,74,12,10,19,1,0,2,0,2,0,0
89,69,2,6,24,2,0,0,0,0,0,0
90,33,7,23,21,1,0,1,0,1,0,0
91,69,6,14,30,2,0,2,0,2,0,0
92,68,27,22,6,2,0,1,0,1,0,0
93,77,18,9,12,3,0,1,1,1,1,0
94,61,38,14,13,2,1,0,1,0,1,0
95,55,7,8,27,3,0,0,0,0,0,0
96,57,10,17,19,1,0,0,0,0,0,0
97,63,13,13,19,2,0,1,0,1,0,0
98,43,18,17,14,2,1,0,0,0,0,0
99,44,18,9,23,1,1,0,0,0,0,0
