game_id,seed,bot1,bot2,score1,score2,bonus1,bonus2,winner,rounds,total_turns
0,242,ReedyBot,PlannedBot,66,49,(+4),(+4+7),0,5,51
1,243,ReedyBot,PlannedBot,45,50,(+4),(+4+10),1,5,52
2,244,ReedyBot,PlannedBot,50,17,(+2),(+4),0,5,54
3,245,ReedyBot,PlannedBot,41,59,(+2),(+4),1,5,53
4,246,ReedyBot,PlannedBot,35,34,(+2),(+2),0,5,51
5,247,ReedyBot,PlannedBot,60,45,(+4),(+4),0,5,50
6,248,ReedyBot,PlannedBot,47,53,(+4),(+4),1,5,50
7,249,ReedyBot,PlannedBot,52,37,(+4+7),(+2),0,5,53
8,250,ReedyBot,PlannedBot,59,50,(+6),(+4+7),0,5,51
9,251,ReedyBot,PlannedBot,53,52,(+4),(+4),0,5,52
10,252,ReedyBot,PlannedBot,40,77,(+4),(+4+7+10),1,5,49
11,253,ReedyBot,PlannedBot,46,50,(+2+7),(+4),1,5,53
12,254,ReedyBot,PlannedBot,71,36,(+4+10),(+4),0,5,48
13,255,ReedyBot,PlannedBot,41,54,(+4),(+2+20),1,5,49
14,256,ReedyBot,PlannedBot,65,61,(+4+7),(+4+7+10),0,5,54
15,257,ReedyBot,PlannedBot,52,44,(+4),(+4),0,5,49
16,258,ReedyBot,PlannedBot,61,56,(+4+7),(+2+7),0,5,51
17,259,ReedyBot,PlannedBot,54,40,(+4),(+2+7),0,5,50
18,260,ReedyBot,PlannedBot,64,64,(+4+7),(+4+14),-1,5,54
19,261,ReedyBot,PlannedBot,44,43,(+4),(+4),0,5,53
20,262,ReedyBot,PlannedBot,64,50,(+4),(+4),0,5,51
21,263,ReedyBot,PlannedBot,68,47,(+4+10),(+7+10),0,5,51
22,264,ReedyBot,PlannedBot,52,40,(+4),(+4+7),0,5,53
23,265,ReedyBot,PlannedBot,61,57,(+2+7),(+4+7),0,5,52
24,266,ReedyBot,PlannedBot,67,39,(+6),(+4),0,5,51
25,267,ReedyBot,PlannedBot,52,62,(+4),(+4+7),1,5,52
26,268,ReedyBot,PlannedBot,46,58,(+4),(+4+7),1,5,52
27,269,ReedyBot,PlannedBot,70,43,(+4+7),(+4),0,5,54
28,270,ReedyBot,PlannedBot,69,49,(+4),(+4),0,5,50
29,271,ReedyBot,PlannedBot,55,50,(+4+7),(+4+7),0,5,50
30,272,ReedyBot,PlannedBot,61,53,(+4+7),(+4+7),0,5,51
31,273,ReedyBot,PlannedBot,71,44,(+4+7),(+4),0,5,55
32,274,ReedyBot,PlannedBot,35,35,(+2+10),(+0),0,5,50
33,275,ReedyBot,PlannedBot,44,74,(+7),(+4+14),1,5,48
34,276,ReedyBot,PlannedBot,44,48,(+2),(+2+7),1,5,50
35,277,ReedyBot,PlannedBot,59,43,(+2+10),(+2),0,5,51
36,278,ReedyBot,PlannedBot,57,48,(+4),(+4),0,5,49
37,279,ReedyBot,PlannedBot,55,51,(+4+7),(+2+7+10),0,5,50
38,280,ReedyBot,PlannedBot,58,46,(+4+7),(+2+7),0,5,51
39,281,ReedyBot,PlannedBot,48,65,(+2+7),(+4+7),1,5,50
40,282,ReedyBot,PlannedBot,35,59,(+4),(+4),1,5,53
41,283,ReedyBot,PlannedBot,57,48,(+4+10),(+2+10),0,5,51
42,284,ReedyBot,PlannedBot,78,29,(+6+10),(+2),0,5,55
43,285,ReedyBot,PlannedBot,78,33,(+4+14),(+2+7),0,5,50
