game_id,seed,bot1,bot2,score1,score2,bonus1,bonus2,winner,rounds,total_turns
0,142,PlannedBot,RandomBot,40,0,(+0),(+0),-1,6,53
1,143,PlannedBot,RandomBot,38,0,(+4),(+0),0,5,47
2,144,PlannedBot,RandomBot,27,25,(+4),(+2),0,5,55
3,145,PlannedBot,RandomBot,46,19,(+2),(+0),0,5,51
4,146,PlannedBot,RandomBot,38,8,(+4),(+0),0,5,53
5,147,PlannedBot,RandomBot,20,13,(+2),(+0),0,5,52
6,148,PlannedBot,RandomBot,31,7,(+2),(+0),0,5,51
7,149,PlannedBot,RandomBot,53,2,(+4),(+0),0,5,51
8,150,PlannedBot,RandomBot,32,27,(+2),(+7),0,5,52
9,151,PlannedBot,RandomBot,44,0,(+0),(+0),-1,7,49
10,152,PlannedBot,RandomBot,55,9,(+4+7),(+2),0,5,50
11,153,PlannedBot,RandomBot,67,11,(+4+7+10),(+0),0,5,52
12,154,PlannedBot,RandomBot,49,19,(+2),(+0),0,5,50
13,155,PlannedBot,RandomBot,66,35,(+4+7),(+2+7),0,5,52
14,156,PlannedBot,RandomBot,78,36,(+4+7+10),(+2),0,5,51
15,157,PlannedBot,RandomBot,35,21,(+4),(+2),0,5,54
16,158,PlannedBot,RandomBot,69,14,(+4+10),(+0),0,5,51
17,159,PlannedBot,RandomBot,64,16,(+4+7),(+0),0,5,53
18,160,PlannedBot,RandomBot,89,13,(+2+7+20),(+0),0,5,50
19,161,PlannedBot,RandomBot,65,7,(+4+14),(+0),0,5,50
20,162,PlannedBot,RandomBot,49,3,(+4),(+0),0,5,50
21,163,PlannedBot,RandomBot,38,5,(+2),(+0),0,5,50
22,164,PlannedBot,RandomBot,63,19,(+4+7),(+10),0,5,52
23,165,PlannedBot,RandomBot,65,1,(+2+10),(+0),0,5,48
24,166,PlannedBot,RandomBot,56,10,(+4+7+10),(+0),0,5,51
25,167,PlannedBot,RandomBot,29,6,(+0),(+0),-1,6,49
26,168,PlannedBot,RandomBot,49,9,(+4+7),(+0),0,5,52
27,169,PlannedBot,RandomBot,58,14,(+2+7),(+10),0,5,50
28,170,PlannedBot,RandomBot,75,5,(+4+14+10),(+0),0,5,52
29,171,PlannedBot,RandomBot,74,25,(+4+7),(+7),0,5,52
30,172,PlannedBot,RandomBot,72,5,(+4+10),(+0),0,5,48
31,173,PlannedBot,RandomBot,53,15,(+4+7),(+0),0,5,51
32,174,PlannedBot,RandomBot,58,2,(+4+7+10),(+0),0,5,47
33,175,PlannedBot,RandomBot,88,5,(+4+14),(+0),0,5,50
34,176,PlannedBot,RandomBot,79,14,(+2+14+10),(+0),0,5,53
35,177,PlannedBot,RandomBot,61,41,(+4+7+10),(+4+7),0,5,50
36,178,PlannedBot,RandomBot,51,17,(+4+7),(+0),0,5,53
37,179,PlannedBot,RandomBot,70,3,(+6),(+0),0,5,53
38,180,PlannedBot,RandomBot,23,4,(+2),(+0),0,5,49
39,181,PlannedBot,RandomBot,39,2,(+4),(+2),0,5,53
40,182,PlannedBot,RandomBot,73,19,(+4+14),(+7),0,5,52
41,183,PlannedBot,RandomBot,38,1,(+2),(+0),0,5,53
42,184,PlannedBot,RandomBot,40,6,(+2+7),(+0),0,5,52
43,185,PlannedBot,RandomBot,85,12,(+4+20),(+7),0,5,50
44,186,PlannedBot,RandomBot,54,15,(+4+7),(+0),0,5,54
45,187,PlannedBot,RandomBot,23,8,(+0),(+2),0,6,50
46,188,PlannedBot,RandomBot,44,4,(+2),(+0),0,5,50
